innings,player_dismissed,date,season,batting_team,striker,wicket_type,bowling_team,runs_of_bat,over,match_no,match_id,noballs,extras,legbyes,bowler,byes,fielder,venue,wide
1,,"Apr 21, 2024",2024,PBKS,Harpreet Brar,,GT,4,17.2,37,202437,0,0,0,Mohit Sharma,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
1,,"Apr 21, 2024",2024,PBKS,Harpreet Brar,,GT,4,17.3,37,202437,0,0,0,Mohit Sharma,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
1,,"Apr 21, 2024",2024,PBKS,Harpreet Brar,,GT,1,17.4,37,202437,0,0,0,Mohit Sharma,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
1,,"Apr 21, 2024",2024,PBKS,Harpreet Singh,,GT,0,17.5,37,202437,0,0,0,Mohit Sharma,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
1,,"Apr 21, 2024",2024,PBKS,Harpreet Singh,,GT,1,17.6,37,202437,0,0,0,Mohit Sharma,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
1,,"Apr 21, 2024",2024,PBKS,Harpreet Singh,,GT,1,18.1,37,202437,0,0,0,Sai Kishore,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
1,,"Apr 21, 2024",2024,PBKS,Harpreet Brar,,GT,0,18.2,37,202437,0,1,0,Sai Kishore,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",1
1,,"Apr 21, 2024",2024,PBKS,Harpreet Brar,,GT,2,18.2,37,202437,0,0,0,Sai Kishore,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
1,,"Apr 21, 2024",2024,PBKS,Harpreet Brar,,GT,0,18.3,37,202437,0,0,0,Sai Kishore,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
1,,"Apr 21, 2024",2024,PBKS,Harpreet Brar,,GT,4,18.4,37,202437,0,0,0,Sai Kishore,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
